   integer_node_x          Max_Ne          Max_Ni          Max_Te     half_node_x      Max_E(id2)       Max_J0/mA
   0.1200000E-02  0.1023828E+09  0.2158536E+11  0.1882897E+01  0.1800000E-02 -0.1919481E+04  0.2302501E+02
   0.2400000E-02  0.1048354E+09  0.2228554E+11  0.2512463E+01  0.3000000E-02 -0.1871577E+04  0.2302501E+02
   0.3600000E-02  0.1073530E+09  0.2274717E+11  0.2812261E+01  0.4200000E-02 -0.1822677E+04  0.2302501E+02
   0.4800000E-02  0.1099518E+09  0.2318385E+11  0.2919367E+01  0.5400000E-02 -0.1772836E+04  0.2302501E+02
   0.6000000E-02  0.1126565E+09  0.2362907E+11  0.2944838E+01  0.6600000E-02 -0.1722034E+04  0.2302501E+02
   0.7200000E-02  0.1155016E+09  0.2408699E+11  0.2939139E+01  0.7800000E-02 -0.1670245E+04  0.2302501E+02
   0.8400000E-02  0.1185363E+09  0.2455813E+11  0.2921558E+01  0.9000000E-02 -0.1617441E+04  0.2302501E+02
   0.9600000E-02  0.1218291E+09  0.2504256E+11  0.2899014E+01  0.1020000E-01 -0.1563592E+04  0.2302501E+02
   0.1080000E-01  0.1254685E+09  0.2554021E+11  0.2873901E+01  0.1140000E-01 -0.1508672E+04  0.2302501E+02
   0.1200000E-01  0.1295557E+09  0.2605093E+11  0.2847046E+01  0.1260000E-01 -0.1452653E+04  0.2302501E+02
   0.1320000E-01  0.1341899E+09  0.2657452E+11  0.2818804E+01  0.1380000E-01 -0.1395508E+04  0.2302501E+02
   0.1440000E-01  0.1394467E+09  0.2711067E+11  0.2789458E+01  0.1500000E-01 -0.1337211E+04  0.2302501E+02
   0.1560000E-01  0.1453565E+09  0.2765903E+11  0.2759330E+01  0.1620000E-01 -0.1277737E+04  0.2302501E+02
   0.1680000E-01  0.1518939E+09  0.2821917E+11  0.2728759E+01  0.1740000E-01 -0.1217062E+04  0.2302501E+02
   0.1800000E-01  0.1589830E+09  0.2879059E+11  0.2698005E+01  0.1860000E-01 -0.1155163E+04  0.2302501E+02
   0.1920000E-01  0.1665196E+09  0.2937275E+11  0.2667174E+01  0.1980000E-01 -0.1092018E+04  0.2302501E+02
   0.2040000E-01  0.1744043E+09  0.2996504E+11  0.2636188E+01  0.2100000E-01 -0.1027604E+04  0.2302501E+02
   0.2160000E-01  0.1825736E+09  0.3056686E+11  0.2604822E+01  0.2220000E-01 -0.9619024E+03  0.2302501E+02
   0.2280000E-01  0.1910207E+09  0.3117754E+11  0.2572787E+01  0.2340000E-01 -0.8948944E+03  0.2302501E+02
   0.2400000E-01  0.1998002E+09  0.3179643E+11  0.2539821E+01  0.2460000E-01 -0.8265627E+03  0.2302501E+02
   0.2520000E-01  0.2090198E+09  0.3242287E+11  0.2505762E+01  0.2580000E-01 -0.7568920E+03  0.2302501E+02
   0.2640000E-01  0.2188247E+09  0.3305622E+11  0.2470585E+01  0.2700000E-01 -0.6858685E+03  0.2302501E+02
   0.2760000E-01  0.2293832E+09  0.3369588E+11  0.2434413E+01  0.2820000E-01 -0.6134802E+03  0.2302501E+02
   0.2880000E-01  0.2408773E+09  0.3434127E+11  0.2397511E+01  0.2940000E-01 -0.5397166E+03  0.2302501E+02
   0.3000000E-01  0.2535010E+09  0.3499191E+11  0.2360285E+01  0.3060000E-01 -0.4645689E+03  0.2302501E+02
   0.3120000E-01  0.2674654E+09  0.3564739E+11  0.2323305E+01  0.3180000E-01 -0.3880294E+03  0.2302501E+02
   0.3240000E-01  0.2830095E+09  0.3630740E+11  0.2287376E+01  0.3300000E-01 -0.3100917E+03  0.2302501E+02
   0.3360000E-01  0.3004196E+09  0.3697174E+11  0.2253689E+01  0.3420000E-01 -0.2307506E+03  0.2302501E+02
   0.3480000E-01  0.3200637E+09  0.3764039E+11  0.2224144E+01  0.3540000E-01 -0.1500014E+03  0.2302501E+02
   0.3600000E-01  0.3424725E+09  0.3831348E+11  0.2201972E+01  0.3660000E-01 -0.6784058E+02  0.2302501E+02
